0.04600	0.55840	0.08238
0.02610	0.51840	0.05035
0.00570	0.51120	0.01115
0.02650	0.54960	0.04822
0.06280	0.51980	0.12082
0.10630	0.73270	0.14508
0.00110	0.24920	0.00441
0.00980	0.60450	0.01621
0.01960	0.34980	0.05603
0.00240	1.00930	0.00238
0.18010	0.67740	0.26587
0.19030	0.70890	0.26844
0.19530	0.74660	0.26159
0.00610	0.39620	0.01540
0.01410	0.54230	0.02600
0.08030	0.79010	0.10163
0.13530	0.45080	0.30013
0.04910	0.49200	0.09980
0.04250	0.57990	0.07329
0.01970	0.53140	0.03707
0.03130	0.80970	0.03866
0.21820	0.69320	0.31477
0.21710	0.69230	0.31359
0.16700	0.73160	0.22827
0.21430	0.71010	0.30179
0.19790	0.69730	0.28381
0.16680	0.72570	0.22985
0.09150	0.84180	0.10870
0.08570	0.68440	0.12522
0.08130	0.94740	0.08581
0.26190	1.02730	0.25494
0.02560	0.41080	0.06232
0.16050	0.74550	0.21529
0.23180	0.97610	0.23748
0.00540	0.84460	0.00639
0.12030	0.63470	0.18954
0.02550	0.35330	0.07218
0.00930	0.15440	0.06023
0.04420	0.51400	0.08599
0.08420	0.53890	0.15624
0.11040	0.95550	0.11554
0.08600	0.80230	0.10719
0.00000	0.77770	0.00000
0.08670	1.21660	0.07126
0.05940	0.96760	0.06139
0.03620	1.03230	0.03507
0.07120	0.49950	0.14254
0.01250	0.34980	0.03573
0.05990	0.78850	0.07597
0.04700	0.50220	0.09359
0.13210	0.48250	0.27378
0.00690	0.40360	0.01710
0.02140	0.34870	0.06137
0.04510	0.47360	0.09523
0.01990	0.37400	0.05321
0.04550	0.65130	0.06986
0.00480	0.46900	0.01023
0.01430	0.68540	0.02086
0.11000	1.87660	0.05862
0.03340	0.51910	0.06434
0.02000	0.43280	0.04621
0.00460	0.48520	0.00948
0.06440	0.62080	0.10374
0.06410	0.61460	0.10430
0.06360	0.62210	0.10223
0.04610	0.43510	0.10595
0.01990	0.55780	0.03568
0.01580	0.38550	0.04099
0.12440	1.18930	0.10460
0.05340	0.67990	0.07854
0.04600	0.68630	0.06703
0.00960	0.59330	0.01618
0.02310	0.96340	0.02398
0.03440	0.34000	0.10118
0.01740	1.82630	0.00953
0.01770	0.79380	0.02230
0.02710	0.67610	0.04008
0.09180	0.33940	0.27048
0.20600	0.98420	0.20931
0.06700	0.80730	0.08299
0.07890	0.84600	0.09326
0.07880	1.02760	0.07668
0.17150	0.55600	0.30845
0.27540	0.76780	0.35869
0.02670	0.86620	0.03082
0.05440	0.57720	0.09425
0.03080	0.44100	0.06984
0.09440	0.53500	0.17645
0.14360	0.43190	0.33248
0.01450	0.73400	0.01975
0.02820	0.72820	0.03873
0.01550	0.47900	0.03236
0.08270	0.40170	0.20588
0.01030	0.57140	0.01803
0.00250	0.27500	0.00909
0.03810	0.53500	0.07121
0.03590	0.53260	0.06741
0.24190	0.94530	0.25590
0.04590	0.63050	0.07280
0.13380	0.61860	0.21629
0.07660	0.64030	0.11963
0.12620	0.53830	0.23444
0.05220	0.31300	0.16677
0.12580	0.77590	0.16213
0.02900	0.51210	0.05663
0.14480	0.74320	0.19483
0.04640	0.72640	0.06388
0.00540	0.27470	0.01966
0.02870	0.49000	0.05857
0.02180	0.94820	0.02299
